driver_id,home_zone_id,vehicle_type,service_type,status,rating,tenure_days
DRV-000064,ZON-078,auto,auto,active,4.31,876
DRV-000065,ZON-038,auto,auto,active,4.50,773
DRV-000066,ZON-073,mini,mini,active,4.94,721
DRV-000067,ZON-098,sedan,sedan,active,3.64,161
DRV-000068,ZON-069,bike,bike_taxi,suspended,3.43,882
DRV-000069,ZON-087,mini,mini,active,4.81,416
DRV-000070,ZON-051,auto,auto,active,4.90,621
DRV-000071,ZON-053,sedan,sedan,active,3.72,968
DRV-000072,ZON-028,auto,auto,active,4.60,374
DRV-000073,ZON-068,auto,auto,inactive,3.99,1017
DRV-000074,ZON-045,auto,auto,active,4.58,399
DRV-000075,ZON-024,mini,mini,active,4.29,900
DRV-000076,ZON-091,bike,bike_taxi,active,3.27,1151
DRV-000077,ZON-093,sedan,sedan,active,3.28,511
DRV-000078,ZON-103,bike,bike_taxi,active,4.85,1157
DRV-000079,ZON-067,auto,auto,inactive,4.22,483
DRV-000080,ZON-056,auto,auto,active,3.72,658
DRV-000081,ZON-021,bike,bike_taxi,active,3.65,140
DRV-000082,ZON-006,auto,auto,active,4.44,495
DRV-000083,ZON-102,mini,mini,active,4.64,728
DRV-000084,ZON-043,sedan,sedan,active,4.41,184
DRV-000085,ZON-001,bike,bike_taxi,active,4.97,1117
DRV-000086,ZON-041,sedan,sedan,active,3.59,1009
DRV-000087,ZON-083,auto,auto,active,3.96,973
DRV-000088,ZON-035,mini,mini,active,4.19,254
DRV-000089,ZON-096,auto,auto,active,4.49,836
DRV-000090,ZON-028,sedan,sedan,active,4.54,630
DRV-000091,ZON-113,sedan,sedan,active,4.91,719
DRV-000092,ZON-057,mini,mini,active,4.57,626
DRV-000093,ZON-113,auto,auto,active,4.86,657
DRV-000094,ZON-023,sedan,sedan,active,4.00,441
DRV-000095,ZON-036,bike,bike_taxi,active,3.74,876
DRV-000096,ZON-081,auto,auto,active,3.68,382
DRV-000097,ZON-114,auto,auto,active,4.47,632
DRV-000098,ZON-045,mini,mini,active,4.17,586
DRV-000099,ZON-017,mini,mini,inactive,4.37,178
DRV-000100,ZON-019,sedan,sedan,active,3.50,1105
DRV-000101,ZON-004,mini,mini,active,4.33,70
DRV-000102,ZON-114,bike,bike_taxi,active,4.88,1170
DRV-000103,ZON-029,auto,auto,active,4.40,253
DRV-000104,ZON-094,sedan,sedan,active,3.66,519
DRV-000105,ZON-110,bike,bike_taxi,active,4.84,520
DRV-000106,ZON-061,sedan,sedan,active,4.45,383
DRV-000107,ZON-057,bike,bike_taxi,active,3.36,119
DRV-000108,ZON-052,bike,bike_taxi,active,3.29,389
DRV-000109,ZON-026,auto,auto,active,4.47,23
DRV-000110,ZON-074,auto,auto,active,3.73,191
DRV-000111,ZON-010,mini,mini,active,4.96,936
DRV-000112,ZON-029,auto,auto,active,3.21,302
DRV-000113,ZON-057,auto,auto,active,3.42,1061
DRV-000114,ZON-033,sedan,sedan,active,3.52,273
DRV-000115,ZON-033,bike,bike_taxi,active,3.93,444
DRV-000116,ZON-030,auto,auto,active,3.46,723
DRV-000117,ZON-038,mini,mini,active,3.32,667
DRV-000118,ZON-043,sedan,sedan,active,3.37,839
DRV-000119,ZON-069,mini,mini,active,4.91,566
DRV-000120,ZON-063,mini,mini,active,3.45,502
DRV-000121,ZON-096,auto,auto,active,4.02,1152
DRV-000122,ZON-010,sedan,sedan,active,4.96,191
DRV-000123,ZON-034,auto,auto,active,4.93,989
DRV-000124,ZON-114,sedan,sedan,active,3.28,479
DRV-000125,ZON-099,sedan,sedan,active,3.73,195
DRV-000126,ZON-044,bike,bike_taxi,active,3.86,783
DRV-000127,ZON-064,sedan,sedan,active,4.15,672
DRV-000128,ZON-072,mini,mini,active,3.34,760
DRV-000129,ZON-048,sedan,sedan,active,3.96,701
DRV-000130,ZON-084,auto,auto,active,3.48,221
DRV-000131,ZON-027,mini,mini,active,3.47,808
DRV-000132,ZON-089,sedan,sedan,active,4.50,47
DRV-000133,ZON-061,auto,auto,active,3.97,676
DRV-000134,ZON-066,bike,bike_taxi,active,4.70,88
DRV-000135,ZON-093,mini,mini,active,3.98,1142
DRV-000136,ZON-070,auto,auto,active,4.87,75
DRV-000137,ZON-048,auto,auto,active,3.26,442
DRV-000138,ZON-116,sedan,sedan,active,3.57,123
DRV-000139,ZON-087,mini,mini,active,3.32,434
DRV-000140,ZON-030,mini,mini,active,3.53,182
DRV-000141,ZON-062,bike,bike_taxi,active,3.44,415
DRV-000142,ZON-036,auto,auto,active,3.58,512
DRV-000143,ZON-068,bike,bike_taxi,active,3.44,830
DRV-000144,ZON-046,sedan,sedan,active,3.55,667
DRV-000145,ZON-049,bike,bike_taxi,active,3.28,1086
DRV-000146,ZON-080,auto,auto,active,3.84,721
DRV-000147,ZON-025,mini,mini,active,3.46,923
DRV-000148,ZON-079,mini,mini,active,3.84,249
DRV-000149,ZON-083,auto,auto,active,4.55,527
DRV-000150,ZON-039,mini,mini,active,4.94,243
DRV-000151,ZON-025,mini,mini,active,3.32,88
DRV-000152,ZON-094,auto,auto,active,3.55,375
DRV-000153,ZON-022,bike,bike_taxi,active,3.95,855
DRV-000154,ZON-043,mini,mini,active,3.98,837
DRV-000155,ZON-116,sedan,sedan,active,3.57,50
DRV-000156,ZON-056,bike,bike_taxi,active,4.97,423
DRV-000157,ZON-008,bike,bike_taxi,active,4.25,476
DRV-000158,ZON-034,auto,auto,active,4.83,676
DRV-000159,ZON-020,auto,auto,inactive,4.93,1136
DRV-000160,ZON-108,sedan,sedan,active,3.32,1136
DRV-000161,ZON-029,mini,mini,active,3.89,970
DRV-000162,ZON-052,auto,auto,active,3.77,567
DRV-000163,ZON-120,auto,auto,active,4.17,840
DRV-000164,ZON-071,mini,mini,active,4.00,783
DRV-000165,ZON-063,mini,mini,active,3.39,727
DRV-000166,ZON-088,auto,auto,active,4.33,1179
DRV-000167,ZON-084,auto,auto,active,4.21,285
DRV-000168,ZON-085,bike,bike_taxi,active,4.68,994
DRV-000169,ZON-092,mini,mini,active,3.86,279
DRV-000170,ZON-053,sedan,sedan,active,3.98,960
DRV-000171,ZON-042,mini,mini,active,4.23,960
DRV-000172,ZON-018,auto,auto,suspended,4.94,226
DRV-000173,ZON-092,bike,bike_taxi,suspended,4.26,717
DRV-000174,ZON-096,bike,bike_taxi,active,4.70,149
DRV-000175,ZON-070,sedan,sedan,active,3.43,828
DRV-000176,ZON-117,sedan,sedan,active,4.98,546
DRV-000177,ZON-024,auto,auto,active,3.36,83
DRV-000178,ZON-022,sedan,sedan,active,3.52,1146
DRV-000179,ZON-093,mini,mini,active,4.31,388
DRV-000180,ZON-016,sedan,sedan,active,4.64,1000
DRV-000181,ZON-009,mini,mini,active,3.95,72
DRV-000182,ZON-052,auto,auto,active,3.98,521
DRV-000183,ZON-019,mini,mini,active,4.90,603
DRV-000184,ZON-095,mini,mini,active,3.54,934
DRV-000185,ZON-045,bike,bike_taxi,suspended,3.89,903
DRV-000186,ZON-043,mini,mini,active,4.79,604
DRV-000187,ZON-112,mini,mini,active,3.35,576
DRV-000188,ZON-096,sedan,sedan,active,3.20,81
DRV-000189,ZON-116,mini,mini,active,3.83,1124
DRV-000190,ZON-102,sedan,sedan,active,3.32,478
DRV-000191,ZON-065,auto,auto,active,3.83,1070
DRV-000192,ZON-052,auto,auto,active,3.56,619
DRV-000193,ZON-021,sedan,sedan,active,4.18,963
DRV-000194,ZON-119,bike,bike_taxi,active,4.49,16
DRV-000195,ZON-068,bike,bike_taxi,active,4.76,964
DRV-000196,ZON-075,bike,bike_taxi,active,3.82,170
DRV-000197,ZON-082,bike,bike_taxi,active,4.30,15
DRV-000198,ZON-044,mini,mini,active,4.78,316
DRV-000199,ZON-005,sedan,sedan,active,4.96,206
DRV-000200,ZON-108,auto,auto,active,4.01,228
DRV-000201,ZON-115,mini,mini,active,4.40,529
DRV-000202,ZON-001,sedan,sedan,active,4.50,1137
DRV-000203,ZON-047,mini,mini,active,3.83,1014
DRV-000204,ZON-054,sedan,sedan,active,3.20,414
DRV-000205,ZON-031,sedan,sedan,active,3.28,697
DRV-000206,ZON-115,sedan,sedan,active,3.69,549
DRV-000207,ZON-067,mini,mini,active,4.68,940
DRV-000208,ZON-080,mini,mini,inactive,4.48,924
DRV-000209,ZON-047,mini,mini,active,4.43,1181
DRV-000210,ZON-117,sedan,sedan,inactive,3.97,129
DRV-000211,ZON-084,auto,auto,active,4.63,903
DRV-000212,ZON-024,auto,auto,active,3.27,171
DRV-000213,ZON-095,bike,bike_taxi,active,4.38,992
DRV-000214,ZON-111,auto,auto,active,3.37,387
DRV-000215,ZON-103,sedan,sedan,active,4.01,671
DRV-000216,ZON-024,bike,bike_taxi,active,3.20,1023
DRV-000217,ZON-027,mini,mini,active,3.86,6
DRV-000218,ZON-056,sedan,sedan,active,4.21,908
DRV-000219,ZON-007,bike,bike_taxi,active,3.79,24
DRV-000220,ZON-116,bike,bike_taxi,active,3.84,1108
DRV-000221,ZON-111,bike,bike_taxi,active,4.09,240
DRV-000222,ZON-049,auto,auto,active,4.01,315
DRV-000223,ZON-025,mini,mini,active,3.60,764
DRV-000224,ZON-005,mini,mini,active,4.60,132
DRV-000225,ZON-103,sedan,sedan,inactive,3.37,68
DRV-000226,ZON-118,sedan,sedan,active,4.10,253
DRV-000227,ZON-015,bike,bike_taxi,active,3.75,504
DRV-000228,ZON-044,mini,mini,active,3.99,996
DRV-000229,ZON-118,sedan,sedan,active,4.21,1107
DRV-000230,ZON-082,mini,mini,active,4.00,816
DRV-000231,ZON-079,mini,mini,active,3.22,359
DRV-000232,ZON-102,mini,mini,active,4.76,621
DRV-000233,ZON-015,mini,mini,active,4.95,348
DRV-000234,ZON-100,auto,auto,active,4.63,10
DRV-000235,ZON-116,mini,mini,active,4.49,654
DRV-000236,ZON-066,auto,auto,active,4.53,559
DRV-000237,ZON-042,auto,auto,active,3.28,150
DRV-000238,ZON-050,mini,mini,active,3.56,623
DRV-000239,ZON-030,bike,bike_taxi,active,4.39,353
DRV-000240,ZON-115,auto,auto,active,3.69,895
DRV-000241,ZON-064,auto,auto,active,4.66,250
DRV-000242,ZON-037,mini,mini,active,3.89,135
DRV-000243,ZON-035,sedan,sedan,active,4.88,922
DRV-000244,ZON-016,sedan,sedan,active,3.34,651
DRV-000245,ZON-055,sedan,sedan,active,4.78,192
DRV-000246,ZON-054,bike,bike_taxi,active,4.26,116
DRV-000247,ZON-105,auto,auto,active,3.63,126
DRV-000248,ZON-102,bike,bike_taxi,active,3.22,1050
DRV-000249,ZON-043,auto,auto,active,3.40,599
DRV-000250,ZON-042,auto,auto,active,3.28,487
DRV-000251,ZON-003,auto,auto,active,4.98,602
DRV-000252,ZON-009,auto,auto,active,4.17,747
DRV-000253,ZON-005,mini,mini,active,4.50,1055
DRV-000254,ZON-020,auto,auto,inactive,3.32,1073
DRV-000255,ZON-051,bike,bike_taxi,active,3.84,208
DRV-000256,ZON-005,bike,bike_taxi,active,4.02,817
DRV-000257,ZON-033,sedan,sedan,active,4.83,1004
DRV-000258,ZON-066,auto,auto,inactive,3.57,665
DRV-000259,ZON-066,sedan,sedan,active,3.91,8
DRV-000260,ZON-041,sedan,sedan,active,3.93,276
DRV-000261,ZON-022,bike,bike_taxi,active,3.71,472
DRV-000262,ZON-091,mini,mini,active,3.28,647
DRV-000263,ZON-118,sedan,sedan,active,4.81,228
DRV-000264,ZON-105,sedan,sedan,active,3.38,1106
DRV-000265,ZON-088,mini,mini,active,3.59,35
DRV-000266,ZON-071,mini,mini,active,4.98,110
DRV-000267,ZON-100,bike,bike_taxi,active,4.56,434
DRV-000268,ZON-010,auto,auto,active,3.23,146
DRV-000269,ZON-033,mini,mini,active,3.78,523
DRV-000270,ZON-038,bike,bike_taxi,active,3.69,853
DRV-000271,ZON-003,bike,bike_taxi,active,3.40,383
DRV-000272,ZON-016,sedan,sedan,active,3.84,383
DRV-000273,ZON-039,bike,bike_taxi,active,3.54,212
DRV-000274,ZON-108,auto,auto,active,3.66,919
DRV-000275,ZON-100,sedan,sedan,active,4.00,88
DRV-000276,ZON-086,bike,bike_taxi,active,4.49,790
DRV-000277,ZON-115,bike,bike_taxi,active,3.55,337
DRV-000278,ZON-103,auto,auto,active,4.86,228
DRV-000279,ZON-041,bike,bike_taxi,inactive,4.92,156
DRV-000280,ZON-100,auto,auto,active,3.68,670
DRV-000281,ZON-022,auto,auto,active,3.75,813
DRV-000282,ZON-070,bike,bike_taxi,active,3.50,116
DRV-000283,ZON-015,bike,bike_taxi,active,4.59,716
DRV-000284,ZON-087,bike,bike_taxi,active,4.67,928
DRV-000285,ZON-059,auto,auto,inactive,3.61,1174
DRV-000286,ZON-020,mini,mini,active,3.36,594
DRV-000287,ZON-113,bike,bike_taxi,active,4.51,712
DRV-000288,ZON-073,mini,mini,active,3.35,128
DRV-000289,ZON-117,bike,bike_taxi,active,4.94,584
DRV-000290,ZON-015,sedan,sedan,active,4.86,972
DRV-000291,ZON-120,sedan,sedan,active,4.25,347
DRV-000292,ZON-086,mini,mini,inactive,4.16,648
DRV-000293,ZON-022,mini,mini,active,3.25,24
DRV-000294,ZON-039,mini,mini,active,3.42,1050
DRV-000295,ZON-100,mini,mini,active,4.50,664
DRV-000296,ZON-067,mini,mini,active,4.26,978
DRV-000297,ZON-037,auto,auto,active,3.21,220
DRV-000298,ZON-025,bike,bike_taxi,active,4.91,772
DRV-000299,ZON-068,sedan,sedan,inactive,4.42,729
DRV-000300,ZON-014,mini,mini,active,4.50,421
DRV-000301,ZON-009,auto,auto,active,4.81,865
DRV-000302,ZON-007,mini,mini,active,3.32,471
DRV-000303,ZON-117,sedan,sedan,active,4.43,495
DRV-000304,ZON-012,auto,auto,active,3.77,933
DRV-000305,ZON-034,mini,mini,active,3.94,662
DRV-000306,ZON-063,sedan,sedan,active,4.95,736
DRV-000307,ZON-029,auto,auto,active,3.66,557
DRV-000308,ZON-007,mini,mini,active,3.92,282
DRV-000309,ZON-016,mini,mini,active,4.14,10
DRV-000310,ZON-107,bike,bike_taxi,active,4.17,895
DRV-000311,ZON-071,mini,mini,active,4.40,416
DRV-000312,ZON-094,auto,auto,active,3.41,371
DRV-000313,ZON-074,auto,auto,active,4.18,829
DRV-000314,ZON-002,bike,bike_taxi,active,3.77,1169
DRV-000315,ZON-076,mini,mini,active,4.69,903
DRV-000316,ZON-074,bike,bike_taxi,active,3.20,743
DRV-000317,ZON-034,sedan,sedan,inactive,4.51,786
DRV-000318,ZON-080,bike,bike_taxi,active,3.23,737
DRV-000319,ZON-043,sedan,sedan,active,3.67,789
DRV-000320,ZON-052,sedan,sedan,active,4.56,10
DRV-000321,ZON-041,mini,mini,active,4.57,117
DRV-000322,ZON-086,mini,mini,active,4.54,1111
DRV-000323,ZON-028,sedan,sedan,active,4.67,440
DRV-000324,ZON-099,mini,mini,active,4.53,292
DRV-000325,ZON-037,bike,bike_taxi,active,3.69,605
DRV-000326,ZON-061,mini,mini,active,3.21,750
DRV-000327,ZON-056,auto,auto,active,4.62,1147
DRV-000328,ZON-025,auto,auto,active,4.16,758
DRV-000329,ZON-087,mini,mini,active,4.08,745
DRV-000330,ZON-068,mini,mini,suspended,4.88,579
DRV-000331,ZON-010,mini,mini,active,4.54,122
DRV-000332,ZON-038,mini,mini,active,4.90,942
DRV-000333,ZON-110,auto,auto,active,3.91,1127
DRV-000334,ZON-043,bike,bike_taxi,active,4.72,594
DRV-000335,ZON-106,auto,auto,active,3.92,888
DRV-000336,ZON-005,auto,auto,active,3.35,812
DRV-000337,ZON-058,mini,mini,active,3.69,1049
DRV-000338,ZON-067,auto,auto,active,3.58,877
DRV-000339,ZON-041,bike,bike_taxi,active,4.85,943
DRV-000340,ZON-034,bike,bike_taxi,active,4.99,876
DRV-000341,ZON-074,bike,bike_taxi,active,4.39,935
DRV-000342,ZON-103,auto,auto,active,4.38,959
DRV-000343,ZON-020,auto,auto,active,3.49,815
DRV-000344,ZON-054,auto,auto,active,4.91,99
DRV-000345,ZON-047,auto,auto,active,4.60,241
DRV-000346,ZON-109,sedan,sedan,active,4.87,972
DRV-000347,ZON-074,auto,auto,active,3.78,255
DRV-000348,ZON-026,sedan,sedan,active,4.00,228
DRV-000349,ZON-113,sedan,sedan,active,4.63,894
DRV-000350,ZON-064,mini,mini,active,3.49,563
DRV-000351,ZON-102,mini,mini,active,4.16,192
DRV-000352,ZON-029,sedan,sedan,active,4.82,653
DRV-000353,ZON-085,auto,auto,active,3.84,1127
DRV-000354,ZON-044,mini,mini,active,3.65,684
DRV-000355,ZON-120,auto,auto,active,3.56,669
DRV-000356,ZON-054,sedan,sedan,active,3.39,522
DRV-000357,ZON-081,bike,bike_taxi,active,4.12,1069
DRV-000358,ZON-019,sedan,sedan,inactive,3.33,1113
DRV-000359,ZON-008,sedan,sedan,active,4.84,416
DRV-000360,ZON-069,mini,mini,active,4.00,585
DRV-000361,ZON-062,auto,auto,active,4.36,828
DRV-000362,ZON-006,auto,auto,active,4.22,294
DRV-000363,ZON-096,mini,mini,active,4.72,310
DRV-000364,ZON-065,mini,mini,active,4.46,297
DRV-000365,ZON-117,bike,bike_taxi,active,4.62,492
DRV-000366,ZON-062,bike,bike_taxi,active,4.35,130
DRV-000367,ZON-049,bike,bike_taxi,active,3.38,994
DRV-000368,ZON-107,sedan,sedan,active,3.34,120
DRV-000369,ZON-043,auto,auto,active,3.25,217
DRV-000370,ZON-042,mini,mini,active,3.57,824
DRV-000371,ZON-026,bike,bike_taxi,active,4.36,375
DRV-000372,ZON-005,mini,mini,active,4.47,483
DRV-000373,ZON-035,auto,auto,active,3.82,46
DRV-000374,ZON-119,sedan,sedan,active,3.64,650
DRV-000375,ZON-055,sedan,sedan,active,4.99,169
DRV-000376,ZON-046,bike,bike_taxi,active,4.30,230
DRV-000377,ZON-070,mini,mini,active,3.92,781
DRV-000378,ZON-082,sedan,sedan,active,3.77,899
DRV-000379,ZON-057,mini,mini,active,4.29,94
DRV-000380,ZON-080,bike,bike_taxi,active,4.11,516
DRV-000381,ZON-063,bike,bike_taxi,active,3.78,512
DRV-000382,ZON-063,mini,mini,active,4.68,421
DRV-000383,ZON-026,auto,auto,active,3.60,624
DRV-000384,ZON-035,bike,bike_taxi,active,3.83,1112
DRV-000385,ZON-061,sedan,sedan,active,4.34,1115
DRV-000386,ZON-056,bike,bike_taxi,active,4.24,987
DRV-000387,ZON-004,mini,mini,suspended,4.64,297
DRV-000388,ZON-074,mini,mini,active,4.67,901
DRV-000389,ZON-096,bike,bike_taxi,active,4.52,307
DRV-000390,ZON-110,auto,auto,active,4.79,134
DRV-000391,ZON-030,auto,auto,active,3.95,627
DRV-000392,ZON-072,auto,auto,active,3.82,953
DRV-000393,ZON-095,bike,bike_taxi,active,4.25,355
DRV-000394,ZON-035,auto,auto,active,4.76,742
DRV-000395,ZON-029,mini,mini,active,3.66,1094
DRV-000396,ZON-117,bike,bike_taxi,active,3.28,861
DRV-000397,ZON-030,mini,mini,active,4.26,836
DRV-000398,ZON-029,mini,mini,active,3.36,1088
DRV-000399,ZON-101,auto,auto,active,4.59,1173
DRV-000400,ZON-103,sedan,sedan,active,4.89,874
DRV-000401,ZON-113,mini,mini,active,4.95,908
DRV-000402,ZON-030,sedan,sedan,active,4.26,804
DRV-000403,ZON-095,sedan,sedan,active,4.87,737
DRV-000404,ZON-058,mini,mini,active,4.25,518
DRV-000405,ZON-085,bike,bike_taxi,active,3.37,476
DRV-000406,ZON-012,sedan,sedan,active,4.43,1161
DRV-000407,ZON-078,auto,auto,active,4.60,775
DRV-000408,ZON-002,auto,auto,inactive,4.35,656
DRV-000409,ZON-026,sedan,sedan,active,3.30,1127
DRV-000410,ZON-091,sedan,sedan,active,4.15,737
DRV-000411,ZON-091,bike,bike_taxi,active,4.96,955
DRV-000412,ZON-011,bike,bike_taxi,active,3.93,29
DRV-000413,ZON-052,sedan,sedan,active,3.38,585
DRV-000414,ZON-034,auto,auto,active,4.54,501
DRV-000415,ZON-073,sedan,sedan,active,4.58,411
DRV-000416,ZON-083,sedan,sedan,active,4.87,988
DRV-000417,ZON-111,mini,mini,active,3.71,874
DRV-000418,ZON-056,bike,bike_taxi,active,4.14,330
DRV-000419,ZON-106,sedan,sedan,active,4.62,1012
DRV-000420,ZON-016,sedan,sedan,active,4.74,1160
DRV-000421,ZON-076,bike,bike_taxi,active,4.04,990
DRV-000422,ZON-090,auto,auto,active,5.00,779
DRV-000423,ZON-057,mini,mini,active,4.27,454
DRV-000424,ZON-108,auto,auto,active,3.79,984
DRV-000425,ZON-092,sedan,sedan,active,3.57,513
DRV-000426,ZON-069,auto,auto,active,4.69,517
DRV-000427,ZON-077,mini,mini,active,3.89,389
DRV-000428,ZON-086,sedan,sedan,active,3.65,891
DRV-000429,ZON-087,sedan,sedan,active,4.51,23
DRV-000430,ZON-114,mini,mini,active,4.05,55
DRV-000431,ZON-100,auto,auto,active,3.74,1051
DRV-000432,ZON-093,mini,mini,active,3.96,792
DRV-000433,ZON-029,auto,auto,active,3.63,468
DRV-000434,ZON-003,auto,auto,active,4.95,1092
DRV-000435,ZON-108,bike,bike_taxi,active,3.87,272
DRV-000436,ZON-069,auto,auto,active,4.88,678
DRV-000437,ZON-015,mini,mini,active,4.39,192
DRV-000438,ZON-082,auto,auto,active,3.26,1151
DRV-000439,ZON-047,auto,auto,active,3.73,376
DRV-000440,ZON-039,bike,bike_taxi,active,4.96,50
DRV-000441,ZON-054,bike,bike_taxi,active,4.28,349
DRV-000442,ZON-108,mini,mini,active,3.25,442
DRV-000443,ZON-036,sedan,sedan,active,3.32,1138
DRV-000444,ZON-020,sedan,sedan,active,3.50,448
DRV-000445,ZON-003,bike,bike_taxi,active,3.94,1005
DRV-000446,ZON-093,auto,auto,active,3.64,1145
DRV-000447,ZON-075,sedan,sedan,active,3.49,161
DRV-000448,ZON-010,bike,bike_taxi,active,3.99,1040
DRV-000449,ZON-114,auto,auto,active,3.32,850
DRV-000450,ZON-008,bike,bike_taxi,active,3.29,1179
DRV-000451,ZON-051,auto,auto,active,4.72,151
DRV-000452,ZON-116,bike,bike_taxi,active,4.86,987
DRV-000453,ZON-011,mini,mini,active,3.67,976
DRV-000454,ZON-109,sedan,sedan,active,4.50,694
DRV-000455,ZON-030,sedan,sedan,active,4.54,177
DRV-000456,ZON-090,sedan,sedan,active,4.41,383
DRV-000457,ZON-015,mini,mini,active,3.56,1107
DRV-000458,ZON-008,auto,auto,inactive,4.25,842
DRV-000459,ZON-119,bike,bike_taxi,active,4.53,125
DRV-000460,ZON-109,mini,mini,active,4.05,936
DRV-000461,ZON-017,sedan,sedan,active,4.94,930
DRV-000462,ZON-059,bike,bike_taxi,active,4.88,463
DRV-000463,ZON-025,mini,mini,active,4.34,804
DRV-000464,ZON-113,auto,auto,active,4.02,1118
DRV-000465,ZON-089,sedan,sedan,active,3.42,552
DRV-000466,ZON-011,auto,auto,active,4.91,452
DRV-000467,ZON-079,mini,mini,active,3.76,622
DRV-000468,ZON-007,auto,auto,active,3.97,1048
DRV-000469,ZON-037,bike,bike_taxi,active,3.20,1079
DRV-000470,ZON-066,mini,mini,active,4.45,720
DRV-000471,ZON-030,mini,mini,active,3.37,288
DRV-000472,ZON-072,mini,mini,active,3.54,723
DRV-000473,ZON-070,mini,mini,active,3.60,443
DRV-000474,ZON-112,mini,mini,active,4.76,450
DRV-000475,ZON-024,mini,mini,active,4.07,382
DRV-000476,ZON-023,mini,mini,inactive,4.00,863
DRV-000477,ZON-035,mini,mini,active,3.23,854
DRV-000478,ZON-012,mini,mini,active,3.54,716
DRV-000479,ZON-030,bike,bike_taxi,active,3.78,1049
DRV-000480,ZON-051,bike,bike_taxi,active,4.26,287
DRV-000481,ZON-106,sedan,sedan,inactive,3.85,99
DRV-000482,ZON-041,auto,auto,active,4.50,869
DRV-000483,ZON-078,sedan,sedan,active,3.35,827
DRV-000484,ZON-078,bike,bike_taxi,active,3.44,423
DRV-000485,ZON-098,mini,mini,active,3.20,435
DRV-000486,ZON-052,bike,bike_taxi,active,4.48,271
DRV-000487,ZON-026,sedan,sedan,inactive,4.67,1102
DRV-000488,ZON-083,auto,auto,active,4.31,1082
DRV-000489,ZON-043,mini,mini,active,4.55,1046
DRV-000490,ZON-028,mini,mini,active,3.27,417
DRV-000491,ZON-003,mini,mini,active,4.06,577
DRV-000492,ZON-070,auto,auto,active,3.93,433
DRV-000493,ZON-008,auto,auto,active,4.26,429
DRV-000494,ZON-119,auto,auto,active,3.55,692
