zone_id,zone_name,zone_type,city_code,demand_band,is_active
ZON-043,TPC Zone 043,residential,TPC,low,true
ZON-044,TPC Zone 044,commercial,TPC,medium,true
ZON-045,TPC Zone 045,transit_hub,TPC,high,true
ZON-046,TPC Zone 046,education,TPC,low,true
ZON-047,TPC Zone 047,mixed_use,TPC,medium,true
ZON-048,TPC Zone 048,airport,TPC,high,true
ZON-049,TPC Zone 049,residential,TPC,low,true
ZON-050,TPC Zone 050,commercial,TPC,medium,true
ZON-051,TPC Zone 051,transit_hub,TPC,high,true
ZON-052,TPC Zone 052,education,TPC,low,true
ZON-053,TPC Zone 053,mixed_use,TPC,medium,true
ZON-054,TPC Zone 054,airport,TPC,high,true
ZON-055,TPC Zone 055,residential,TPC,low,true
ZON-056,TPC Zone 056,commercial,TPC,medium,true
ZON-057,TPC Zone 057,transit_hub,TPC,high,true
ZON-058,TPC Zone 058,education,TPC,low,true
ZON-059,TPC Zone 059,mixed_use,TPC,medium,true
ZON-060,TPC Zone 060,airport,TPC,high,true
ZON-061,TPC Zone 061,residential,TPC,low,true
ZON-062,TPC Zone 062,commercial,TPC,medium,true
ZON-063,TPC Zone 063,transit_hub,TPC,high,true
ZON-064,TPC Zone 064,education,TPC,low,true
ZON-065,TPC Zone 065,mixed_use,TPC,medium,true
ZON-066,TPC Zone 066,airport,TPC,high,true
ZON-067,TPC Zone 067,residential,TPC,low,true
ZON-068,TPC Zone 068,commercial,TPC,medium,true
ZON-069,TPC Zone 069,transit_hub,TPC,high,true
ZON-070,TPC Zone 070,education,TPC,low,true
ZON-071,TPC Zone 071,mixed_use,TPC,medium,true
ZON-072,TPC Zone 072,airport,TPC,high,true
ZON-073,TPC Zone 073,residential,TPC,low,true
ZON-074,TPC Zone 074,commercial,TPC,medium,true
ZON-075,TPC Zone 075,transit_hub,TPC,high,true
ZON-076,TPC Zone 076,education,TPC,low,true
ZON-077,TPC Zone 077,mixed_use,TPC,medium,true
ZON-078,TPC Zone 078,airport,TPC,high,true
ZON-079,TPC Zone 079,residential,TPC,low,true
ZON-080,TPC Zone 080,commercial,TPC,medium,true
ZON-081,TPC Zone 081,transit_hub,TPC,high,true
ZON-082,TPC Zone 082,education,TPC,low,true
ZON-083,TPC Zone 083,mixed_use,TPC,medium,true
ZON-084,TPC Zone 084,airport,TPC,high,true
ZON-085,TPC Zone 085,residential,TPC,low,true
ZON-086,TPC Zone 086,commercial,TPC,medium,true
ZON-087,TPC Zone 087,transit_hub,TPC,high,true
ZON-088,TPC Zone 088,education,TPC,low,true
ZON-089,TPC Zone 089,mixed_use,TPC,medium,true
ZON-090,TPC Zone 090,airport,TPC,high,true
ZON-091,TPC Zone 091,residential,TPC,low,true
ZON-092,TPC Zone 092,commercial,TPC,medium,true
ZON-093,TPC Zone 093,transit_hub,TPC,high,true
ZON-094,TPC Zone 094,education,TPC,low,true
ZON-095,TPC Zone 095,mixed_use,TPC,medium,true
ZON-096,TPC Zone 096,airport,TPC,high,true
ZON-097,TPC Zone 097,residential,TPC,low,true
ZON-098,TPC Zone 098,commercial,TPC,medium,true
ZON-099,TPC Zone 099,transit_hub,TPC,high,true
ZON-100,TPC Zone 100,education,TPC,low,true
ZON-101,TPC Zone 101,mixed_use,TPC,medium,true
ZON-102,TPC Zone 102,airport,TPC,high,true
ZON-103,TPC Zone 103,residential,TPC,low,true
ZON-104,TPC Zone 104,commercial,TPC,medium,true
ZON-105,TPC Zone 105,transit_hub,TPC,high,true
ZON-106,TPC Zone 106,education,TPC,low,true
ZON-107,TPC Zone 107,mixed_use,TPC,medium,true
ZON-108,TPC Zone 108,airport,TPC,high,true
ZON-109,TPC Zone 109,residential,TPC,low,true
ZON-110,TPC Zone 110,commercial,TPC,medium,true
ZON-111,TPC Zone 111,transit_hub,TPC,high,true
ZON-112,TPC Zone 112,education,TPC,low,true
ZON-113,TPC Zone 113,mixed_use,TPC,medium,true
ZON-114,TPC Zone 114,airport,TPC,high,true
ZON-115,TPC Zone 115,residential,TPC,low,true
ZON-116,TPC Zone 116,commercial,TPC,medium,true
ZON-117,TPC Zone 117,transit_hub,TPC,high,true
ZON-118,TPC Zone 118,education,TPC,low,true
ZON-119,TPC Zone 119,mixed_use,TPC,medium,true
ZON-120,TPC Zone 120,airport,TPC,high,true
