operation_date,service_type,trip_requests,completed_trips,cancelled_trips,unfulfilled_trips,completion_rate,cancellation_rate,unfulfilled_rate,avg_response_minutes,avg_trip_duration_minutes,avg_final_fare_inr
2026-01-04,mini,875,548,222,105,0.6262857142857143,0.2537142857142857,0.1200000000000000,3.5354112554112556,49.442700729927004,465.884763
2026-01-08,auto,751,502,180,69,0.6684420772303595,0.2396804260985353,0.0918774966711052,3.635850439882698,47.7711155378486,375.742749
2026-01-09,sedan,554,341,143,70,0.6155234657039711,0.2581227436823105,0.1263537906137184,3.6687672176308537,49.72091886608016,676.249501
2026-01-07,auto,712,459,170,83,0.6446629213483146,0.2387640449438202,0.1165730337078652,3.679703232644409,47.378758169934635,393.457908
2026-01-12,mini,828,524,202,102,0.6328502415458937,0.2439613526570048,0.1231884057971014,3.699471992653811,45.40375318066158,492.948340
2026-01-11,bike_taxi,567,369,133,65,0.6507936507936508,0.2345679012345679,0.1146384479717813,3.744754316069057,46.73044263775971,267.755176
2026-01-11,sedan,528,345,128,55,0.6534090909090909,0.2424242424242424,0.1041666666666667,3.5385482734319944,47.78541062801933,620.670986
2026-01-03,auto,796,488,199,109,0.6130653266331658,0.2500000000000000,0.1369346733668342,3.656889859291606,46.23319672131148,392.532561
2026-01-04,auto,756,469,189,98,0.6203703703703704,0.2500000000000000,0.1296296296296296,3.7329280648429584,47.444100923951666,389.184499
2026-01-14,mini,870,570,187,113,0.6551724137931034,0.2149425287356322,0.1298850574712644,3.739982386613826,48.80070175438596,506.713193
2026-01-02,mini,796,494,183,119,0.6206030150753769,0.2298994974874372,0.1494974874371859,3.57028557360906,47.219163292847504,503.817186
2026-01-02,auto,773,476,199,98,0.6157826649417853,0.2574385510996119,0.1267787839586028,3.6181234567901233,47.85399159663866,378.318634
2026-01-06,mini,841,520,217,104,0.6183115338882283,0.2580261593341260,0.1236623067776457,3.801831750339213,47.56214743589744,497.485269
2026-01-12,sedan,500,343,112,45,0.6860000000000000,0.2240000000000000,0.0900000000000000,3.691025641025641,46.1687074829932,664.301254
2026-01-09,bike_taxi,620,389,155,76,0.6274193548387097,0.2500000000000000,0.1225806451612903,3.5436274509803924,46.214867180805484,263.457147
2026-01-02,bike_taxi,580,358,149,73,0.6172413793103448,0.2568965517241379,0.1258620689655172,3.6187376725838263,46.111778398510246,278.240782
2026-01-13,mini,853,541,192,120,0.6342321219226260,0.2250879249706917,0.1406799531066823,3.6941791723510686,47.99984596426371,517.276525
2026-01-05,sedan,506,341,113,52,0.6739130434782609,0.2233201581027668,0.1027667984189723,3.609985315712188,49.88128054740958,655.519326
2026-01-05,bike_taxi,597,386,138,73,0.6465661641541039,0.2311557788944724,0.1222780569514238,3.6022582697201018,46.95561312607945,270.954430
2026-01-04,bike_taxi,567,368,137,62,0.6490299823633157,0.2416225749559083,0.1093474426807760,3.70039603960396,49.177807971014495,254.295978
2026-01-10,bike_taxi,545,348,133,64,0.6385321100917431,0.2440366972477064,0.1174311926605505,3.697470547470547,45.4455459770115,273.569195
2026-01-03,sedan,525,364,107,54,0.6933333333333333,0.2038095238095238,0.1028571428571429,3.654352441613588,48.369826007326004,692.745302
2026-01-05,auto,764,511,175,78,0.6688481675392670,0.2290575916230366,0.1020942408376963,3.601700680272109,48.0486301369863,385.980470
2026-01-07,mini,884,556,210,118,0.6289592760180995,0.2375565610859729,0.1334841628959276,3.7044386422976503,47.524310551558756,485.230000
2026-01-13,auto,782,510,179,93,0.6521739130434783,0.2289002557544757,0.1189258312020460,3.6864779874213838,49.55245098039215,385.817275
2026-01-14,sedan,474,310,101,63,0.6540084388185654,0.2130801687763713,0.1329113924050633,3.714071370640714,47.637150537634405,640.495516
2026-01-07,sedan,537,343,131,63,0.6387337057728119,0.2439478584729981,0.1173184357541899,3.8427215189873416,47.3407677356657,624.487522
2026-01-10,auto,731,477,169,85,0.6525307797537620,0.2311901504787962,0.1162790697674419,3.6373839009287923,48.002410901467506,402.054843
2026-01-01,auto,784,516,187,81,0.6581632653061224,0.2385204081632653,0.1033163265306122,3.6817211948790893,46.19580103359173,369.688605
2026-01-08,mini,852,537,204,111,0.6302816901408451,0.2394366197183099,0.1302816901408451,3.653283850652272,48.375512104283054,492.277598
2026-01-01,mini,831,520,218,93,0.6257521058965102,0.2623345367027677,0.1119133574007220,3.7173893405600724,46.76993589743589,502.670654
2026-01-09,auto,751,476,188,87,0.6338215712383489,0.2503328894806924,0.1158455392809587,3.7612951807228914,49.358683473389355,387.704244
2026-01-11,auto,727,444,188,95,0.6107290233837689,0.2585969738651994,0.1306740027510316,3.5827004219409284,45.36955705705706,411.991757
2026-01-12,bike_taxi,643,413,155,75,0.6423017107309487,0.2410575427682737,0.1166407465007776,3.729900234741784,46.5319209039548,258.461235
2026-01-01,bike_taxi,603,379,148,76,0.6285240464344942,0.2454394693200663,0.1260364842454395,3.663440860215054,48.08948988566403,272.014433
2026-01-02,sedan,479,319,107,53,0.6659707724425887,0.2233820459290188,0.1106471816283925,3.615453834115806,46.35715778474399,634.615204
2026-01-09,mini,776,501,173,102,0.6456185567010309,0.2229381443298969,0.1314432989690722,3.645895153313551,49.04963406520292,471.024192
2026-01-10,mini,854,545,200,109,0.6381733021077283,0.2341920374707260,0.1276346604215457,3.675973154362416,46.028837920489295,505.792606
2026-01-13,sedan,514,333,118,63,0.6478599221789883,0.2295719844357977,0.1225680933852140,3.6642645971914263,48.129479479479485,652.869820
